title,org,deadline,fee,category,description,url,instagram,location,prize,eligibility,submitVia,requirements,jury,resultsDate,ai,slug,orgInTitle,dateAdded
L'Image Satellite 2026,Sept Off,2026-04-26,Free,exhibition,"Open call for photographers and visual artists working with contemporary still image practices including documentary, experimental, vernacular, and hybrid image forms. Selected artists exhibit at L'Image Satellite festival in Nice, September–October 2026. Artists receive €500 presentation fee, round-trip artwork transport, accommodation, and travel. Submit up to 20 JPEG images via online form and email.",https://sept-off.org/limage-satellite-2026-candidature-festival-2026/,@limage_satellite,"Nice, France",€500,,Email,Up to 20 images,,,,l-image-satellite-2026-sept-off,false,2026-03-18
2026 Fotograf Magazine Open Call,Fotograf Magazine,2026-04-30,€35,zine,"International open call for fine-art photography and moving image representing distinctly defined projects of independent and non-commercial character. Two selected projects published in the next printed issue. Jury includes Felix Hoffmann (Foto Arsenal Wien), Markéta Kinterová, and others. Open to professionals, amateurs, and students.",https://www.fotograf.zone/en/2026-fotograf-magazine-open-call,@fotograf.zone,"Prague, Czech Republic",Publication,,Email,Portfolio + project PDFs,"Felix Hoffmann, Curator & Artistic Director, FOTO ARSENAL WIEN; Markéta Kinterová, Director, Fotograf.zone; Michaela Nagyidaiová, Visual artist; Marta Szymańska, Photography curator; Peter Watkins, Visual artist & lecturer, FAMU","July 30, 2026",,2026-fotograf-magazine-open-call,true,2026-03-18
Fabula Works — Duo/Solo Show in Rome,Fabula Works,2026-05-17,€25,exhibition,"Inaugural open call for two photographers to exhibit in a five-week show at Millepiani Gallery in Rome. No thematic restrictions — submit 10–25 photographs as a cohesive series or curated selection. All printing and promotional costs fully covered. Opening reception June 26, 2026. Exhibition runs June 26–July 31, 2026.",https://fabula-works.com/opencall001,@fabula_works,"Rome, Italy",,,Website form,10–25 images,,,,fabula-works-duo-solo-show-in-rome,true,2026-03-18
Rarefied Light 2026,Alaska Photographic Center,2026-06-10,$30,photography,"Annual statewide juried exhibition with juror Nevada Wier (National Geographic, Smithsonian). Submit 1–20 images of any photographic form except AI-generated work. Selected work travels to galleries in Anchorage, Fairbanks, Juneau, and Cordova from October 2026. Includes three-day workshop (August 14–16) on color, light, action, and pattern in image-making.",https://akphotocenter.org/2026-rarefied-light-call-for-entry,@akphotocenter,"Anchorage, AK, USA",$300,united-states,CaFE,Up to 20 images,"Nevada Wier, Photographer",July 2026,Not accepted,rarefied-light-2026-alaska-photographic-center,false,2026-03-18
Prix Mustaqbal 2026 — Momentum,Fondation TGCC,2026-05-16,Free,exhibition,"Annual competition promoting emerging contemporary creation. Open to artists aged 18–35, Moroccan or foreign residents in Morocco, working in drawing, painting, installation, photography, or sound art. No thematic constraints. Approximately 15 finalists exhibited at Artorium in Casablanca. Winner receives artist residency at Jardin Rouge and duo-shows in Paris and Casablanca.",https://fondationtgcc.com/prix-mustaqbal/,@prixmustaqbal,"Casablanca, Morocco",,,Website form,4–8 images,,September 2026,,prix-mustaqbal-2026-momentum-fondation-tgcc,false,2026-03-17
No Place Art — Edition Two: MATERIALITY,No Place Art,2026-05-31,£24,exhibition,"International open call for artists working in printmaking, painting and mixed media. 80 artists selected for 10-day exhibition at The Handbag Factory in London. 30+ awards from 19 awarding bodies including purchase awards up to £1,000, artist residencies, solo and group exhibitions, mentoring, editorial features, materials vouchers, and workshops.",https://www.noplaceart.com/edition-two-materiality,@noplaceart,"London, United Kingdom","£1,000",,DappleHQ,Up to 5 images,"Aga Kubish, Printmaker; Conor Rush, Artist & Founder, Starving Artists; Geoffrey Howe, Mixed Media Artist; Giles Duley, Photographer & CEO, Legacy of War Foundation; Matthew Burrows, Painter & Founder, Artist Support Pledge; Pia Austin-Little, Co-Founder, Austin & Checker Art Advisory; Roland-Philippe Kretzschmar, Founder, The Art Bystander","June 22, 2026",,no-place-art-edition-two-materiality,true,2026-03-17
59 Rivoli — Artist Residency 2026,59 Rivoli,2026-04-17,Free,residency,"6-month artist residency at the iconic 59 Rivoli in the heart of Paris, a former squat turned official artist residence hosting 30 artists with free open studios visited by the public. Open to visual artists and sculptors of all ages, internationally. Residencies begin May 2026.",https://59rivoli.org/infos-pratiques/,@59rivoli,"Paris, France",,,Google Form,"Letter of motivation, CV, and portfolio in one PDF",,,,59-rivoli-artist-residency-2026,true,2026-03-17
LensCulture Critics' Choice 2026,LensCulture,2026-04-22,"Free (1 image), $10/additional",photography,"Global competition where 20 leading photography critics and curators each select 3 photographers. Up to 60 winners featured in LensCulture online gallery. Top Ten receive $1,000 cash grant each plus international group exhibition at Photo London 2027. Exposure to 3 million global audience. Open to all photographers worldwide.",https://www.lensculture.com/photo-competitions/critics-choice,@lensculture,Online,"$10,000",,LensCulture,1–10 images,"Alex Kahl, Online Editor, WePresent; Alex Pollack, Director of Photography, National Geographic; Anna Planas, Artistic Director, Paris Photo; Bindi Vora, Curator, Autograph; Cassidy Paul, Managing Editor Digital, Aperture; Claartje van Dijk, Senior Curator, Foam Photography Museum; Crista Dix, Executive Director, Griffin Museum; Darius Himes, International Head of Photographs, Christie's; Enrico Stefanelli, Artistic Director, Photolux Festival; Fiona Shields, Head of Photography, The Guardian; Giulia Zorzi, Founder, Micamera; Hannah Watson, Director, Trolley Books; Jane Yeomans, Senior Photo Editor, Bloomberg; Jessie Wender, Photo Editor, The New York Times; Jim Casper, Editor-in-Chief, LensCulture; Rhea Combs, Director of Curatorial Affairs, National Portrait Gallery; Rose Shoshana, Owner & Director, Rose Gallery; Taous R. Dahmani, Curator, The Photographers' Gallery; Xavier Canonne, Director, Musée de la Photographie; Yuri Yamada, Curator, Tokyo Photographic Art Museum",,,lensculture-critics-choice-2026,true,2026-03-17
Analog Sparks — International Film Photography Awards 2026,Analog Sparks,2026-07-31,€10–€25,photography,"International awards discovering and promoting analog photographers worldwide. Categories: Architecture, Fine Art, Human, Lifestyle, Nature, Photo Journalism, Technique, Zines & Photo Books. Accepts color/B&W film, instant film, collodion, alternative techniques, and hybrid analog-digital (no purely digital). Winners exhibited at House of Lucie in Athens and Ostuni.",https://www.analogsparksawards.com/submission-guidelines/,@analog_sparks,"Athens, Greece","€1,000",analog-photography,Website form,1–11 images,"Barna Erdesz, Art Director & Gallerist; Danial Shah, Documentary Photographer; Eva Szombat, Visual Artist; Hossein Farmani, Founder; Ibrahim Mursal, Visual Artist & Writer; Kenro Izu, Photographer; Kira Krasz, Visual Artist; Mikkel Horlyck, Photojournalist; Mo Laudi, Curator; Wanda Martin, Canon Ambassador",,Not accepted,analog-sparks-international-film-photography-awards-2026,true,2026-03-17
Athens Photo Festival 2026,Athens Photo Festival,2026-03-17,€25,exhibition,"Major international photography festival at Benaki Museum / Pireos 138. Approximately 80 artists selected for exhibition across 3,000+ square meters. Production costs covered, two-night accommodation provided. Additional opportunities include portfolio reviews, Talent Lab, artist residency (€600 honorarium). All genres welcome — fine art, conceptual, documentary, installation.",https://photofestival.gr/open-call/,@athensphoto,"Athens, Greece",,,,Up to 20 images,,"March 30, 2026",,athens-photo-festival-2026,true,2026-03-17
Griffin Museum — Material Work: Toil & Grace,Griffin Museum of Photography,2026-04-10,Free,exhibition,"Exhibition exploring the difficulty and beauty of labor in all forms — artistic, physical, emotional, intellectual, domestic, agricultural, industrial, invisible, and performative. Images of work that feel earned, revealing humanity found in toil. Exhibition at Griffin Museum July 29 – September 6, 2026.",https://griffinmuseum.org/calls-for-entry/,@griffinmuseum,"Winchester, MA, USA",,,Google Form,1 image,,"April 20, 2026",,griffin-museum-material-work-toil-grace,true,2026-03-17
RBSA Summer Show 2026,Royal Birmingham Society of Artists,2026-05-05,£13,exhibition,"Largest annual open exhibition at RBSA Gallery in Birmingham. All techniques and media welcome including photography and digital. Open to UK and international artists. £600 first prize, £300 second prize, plus highly commended certificates.",https://rbsa.org.uk/call-for-entries/rbsa-summer-show-2026/,@rbsagallery,"Birmingham, United Kingdom",£600,,Typeform,Up to 3 images,,"May 21, 2026",,rbsa-summer-show-2026-royal-birmingham-society-of-artists,false,2026-03-16
EXPOSED feat Witty Books Dummy Award 2026,Witty Books / EXPOSED,2026-04-19,Free,zine,International competition to publish an unpublished photobook. Winning project edited and published by Witty Books (400+ copies). 20 finalist dummies exhibited at Torino Photo Festival. Open to photographers and collectives with completed but unpublished editorial layouts.,https://exposed.to.it/en/public/exposed-feat-witty-books-dummy-award,@witty_books,"Turin, Italy",Publication,,Email,1 PDF,"Tommaso Parrillo, Witty Books; Giulia Ninotta, EXPOSED; Karla Hiraldo Voleau, Photographer",Early May 2026,,exposed-feat-witty-books-dummy-award-2026,true,2026-03-16
ZRNO Festival 2026 — Open Call,ZRNO Festival,2026-04-20,€14–€21,photography,"International festival of alternative photography. Seeking analog photographers working with alternative and noble processes — cyanotype, wet plate, collodion, and experimental techniques. Single works or cohesive bodies of work welcome. Theme: Unfocus to see.",https://grain.mk/open-call-2026/,@zrnofestival,"Skopje, North Macedonia",Exhibition,analog-photography,Email,Up to 4 images,"Anne-Mette S. Sommer-Kelter, Polaroid Photographer; Drago Vejnovic, Professor, Academy of Arts Banja Luka; Eva Schlogl, Visual Artist & Architect; Pep Minguez, Director, Revela'T Festival; Ivana Brezovac, Professor, Academy of Arts Novi Sad; Natasa Takac, Visual & Media Artist; Florian Kopr, Photographer & Printmaker; Sasho Alushevski, Alternative Photographer","May 15, 2026",,zrno-festival-2026-open-call,true,2026-03-16
PN Awards 2026 — Book Prize & Project Grant,Photography Network,2026-06-15,Free,grant,"Annual book prize honoring innovation in photography scholarship, expression, and dissemination. Project grant supports emerging scholars, curators, and artists with funds to complete works in progress.",https://www.photographynetwork.net/awards,@pnphotographynetwork,Online,,membership-required,Email,,"Lucy Gallun, Curator of Photography, MoMA; Ileana L. Selejan, Lecturer, University of Edinburgh; Giulia Paoletti, Associate Professor, University of Virginia",,,pn-awards-2026-book-prize-project-grant-photography-network,false,2026-03-16
KYOTOGRAPHIE Photo Zine Showcase,KYOTOGRAPHIE,2026-04-20,Free,zine,"Special exhibition within the KYOTOGRAPHIE Photobook Fair for emerging artists. Zines shown to international editors, photographers, curators, and publishers. Exhibition May 9–10, 2026 at Rohm Theatre Kyoto.",https://www.kyotographie.jp/photobook_fair/,@kyotographie_,"Kyoto, Japan",Exhibition,emerging,Google Form,1 zine,,,,kyotographie-photo-zine-showcase,true,2026-03-16
Fotografiska Emerging Artist Platform,Fotografiska,Continuous,Free,photography,"Platform with multiple open calls for emerging photographers including exhibitions at Fotografiska museums, the UN Headquarters, and brand collaborations. Also functions as a portfolio page for discovery.",https://emerging.fotografiska.com,@fotografiska.emerging,Online,Exhibition,emerging,Website form,3 images,"James Nachtwey, Photojournalist; Pauline Benthede, VP Artistic Direction, Fotografiska",,Not accepted,fotografiska-emerging-artist-platform,true,2026-03-16
PORTRAITS — Hellerau Photography Award 2026,PORTRAITS Hellerau,2026-05-03,€30–€50,photography,"Theme: Escapism. 11th edition of the international photography award. €8,000 total prizes (1st: €5,000, 2nd: €2,000, 3rd: €1,000). Series and individual submissions. 50% student discount on fees.",https://www.portraits-hellerau.com/en/competition/,@portraitshellerau_award,"Dresden, Germany","€5,000",,Picter,Up to 20 images,"Carena Schlewitt, Artistic Director, HELLERAU; Sim Chi Yin, Artist & Researcher; Daniel Blochwitz, Photographer & Curator; Angela Matyssek, Professor, Dresden University of Fine Arts; Sandra Buschow, Photographer & Curator",,Not accepted,portraits-hellerau-photography-award-2026,true,2026-03-16
PETARD Magazine Issue #2 — Authentic,PETARD Magazine,2026-04-16,Free,zine,"Print magazine exploring the tension between truth and performance, reality and replica. Accepting editorials, photo essays, performances, and visual projects. Priority for women-led teams and unpublished work. Pop-up exhibition and print launch June 2026.",https://www.instagram.com/petard.magazine/,@petard.magazine,Online,,,Email,Download link + PDF via email,,"April 18, 2026",,petard-magazine-issue-2-authentic,true,2026-03-16
KYOTOGRAPHIE International Portfolio Review 2026,KYOTOGRAPHIE,2026-03-31,"¥2,000 application + ¥25,000–¥40,000 if accepted",photography,"International portfolio review with world-class experts in Kyoto, April 17–19. Fujifilm Award and new KYOTOGRAPHIE x Dazed Award for emerging photographers. Open to all ages, nationalities, and career levels.",https://www.kyotographie.jp/portfolio-review/2026/,@kyotographie,"Kyoto, Japan","¥100,000",,JotForm,,"Thiago Nogueira, Contemporary Art Director, Moreira Salles Institute; Yumi Goto, Independent Curator; Mutsuko Ota, Editorial Director, IMA Magazine; Michael Famighetti, Editor-in-Chief, Aperture; Andrea Holzherr, Culture Director, Magnum Photos Paris; Takahiro Ito, Curator, Tokyo Photographic Art Museum; Marina Paulenka, Independent Curator; Federico Estol, Artistic Director, SAN JOSE FOTO",,,kyotographie-international-portfolio-review-2026,true,2026-03-16
Prix Révélation SAIF x La Kabine 2026,La Kabine / SAIF,2026-03-29,€5,photography,"Award supporting emerging contemporary photography. €2,000 prize plus exhibition during Festival OFF Arles. 30 finalists projected at La Nuit de l'Émergence with €100 each. Open to professional photographers of all nationalities, 18+.",https://form.jotform.com/260601459696364,@lakabine.centredelimage,"Arles, France","€2,000",emerging,JotForm,10–15 images,,,,prix-r-v-lation-saif-x-la-kabine-2026,true,2026-03-16
Fotobus Library Award 2026,Fotobus Society,2026-05-15,Free,zine,Annual award recognizing the 10 best photobooks of the year. Winning books exhibited at Rencontres d'Arles and Polycopies festivals. All publishers and bookmakers worldwide eligible. Books published Mar 2025–Mar 2026 in runs of 100+ copies.,https://fotobus-society.com/library-award/,@fotobus_society,"Arles, France",,,Post,1 book,,June 2026,Not accepted,fotobus-library-award-2026,true,2026-03-16
Deloitte Photo Grant 2026,Fondazione Deloitte,2026-06-14,Free,grant,"Theme: Proximities. Open to photographers under 35. €25,000 open call prize plus solo exhibition at Triennale Milano. €50,000 nominations category. Explores social, economic, and relational dimensions of proximity.",https://deloittephotogrant.com/en/contests/open-call-2026/,@deloitte_photogrant,"Milan, Italy","€25,000",under-35,Website form,10 images,"Denis Curti, Artistic Director (Jury President); Alec Soth, Photographer, Magnum Photos; Bruce Gilden, Photographer, Magnum Photos; Barbara Ceferin, Owner, Galerija Fotografija; Suzanne Cotter, Director, Museum of Contemporary Art Australia; Sunyoung Kim, Senior Curator, Museum Hanmi",September 2026,Accepted (must disclose),deloitte-photo-grant-2026,true,2026-03-16
Denis Roussel Award 2026,Rfotofolio,2026-06-27,Donation-based (PWYC),photography,"For photographers working with historical and alternative photographic processes including silver gelatin. Submit 7 images and statement. $2,000 main award plus merit awards. Portfolio review prize included.",https://rfotofolio.org/about-the-denis-roussel-award/,@rfotofolio,Online,"$2,000",,Email,7 images,,August 2026,Not accepted,denis-roussel-award-2026-rfotofolio,false,2026-03-16
Lucie Foundation Photo Book Prize 2026,Lucie Foundation,2026-09-15,$50–$75,zine,"Celebrating the most innovative photographic books. Three categories: Book of the Year ($3,000), First Book ($2,000), and Self-Published ($2,000). Open to photographers and publishers worldwide.",https://www.luciefoundation.org/lucie-foundation-photo-book-prize/,@luciefoundation,Online,"$3,000",,Website form,PDF of complete book,"Merve Arkunlar, Editor-in-Chief, 212 Magazine; Martin Schoeller, Photographer; Paul Baldonado, Street & Documentary Photographer; Elizabeth Krist, Independent Visual Editor; Jamel Shabazz, Photographer & Author; Monica Aguilar Villamarin, Visual Artist & Researcher; Eleni Mouzakiti, Curator & Artistic Director; Emmanuel Iduma, Co-Founder, Tender Photos; Yumi Goto, Independent Curator; Lele Saveri, Photographer & 8-Ball Community Co-Founder",Mid-September 2026,,lucie-foundation-photo-book-prize-2026,true,2026-03-16
Insight Foto Festival — Insight Out 2026,Insight Foto Festival,2026-01-25,Free,photography,"Open circuit for independent photography exhibitions and projects inspired by the theme ABITO. Open to artists, collectives, and local organizations. Sixth edition of the festival in Varese, Italy.",https://www.insightfotofest.it,@insight_foto_festival,"Varese, Italy",,,Google Form,,,,,insight-foto-festival-insight-out-2026,true,2026-03-16
"Bibin Photography Magazine #5 — Body, Form & Condition",Bibin Magazine,2026-03-31,Free,zine,"Quarterly contemporary photography magazine from Afghanistan. Issue #5 explores the body through formalist reading — volume, surface, and condition. 20 photographs selected per edition. Multiple submissions welcome.",https://bibinmagazine.com/submissions,@bibinmagazine,Online,,,,,"Shadi Mousavi, Art Critic & Researcher",,,bibin-photography-magazine-5-body-form-condition,true,2026-03-16
Penumbra Foundation Workspace Residency 2026,Penumbra Foundation,2026-04-01,Free,residency,"6–8 week residency in New York City with $7,000 honorarium. Access to comprehensive photographic facilities including darkrooms, digital labs, and studio space. Juried by Makeda Best, Natasha Chuk, and Walead Beshty.",https://site.picter.com/penumbra-foundation-residency-programs-2026,@penumbrafoundation,"New York, NY, USA","$7,000",united-states,Picter,10–20 images,"Makeda Best, Deputy Director of Curatorial Affairs, Oakland Museum of California; Natasha Chuk, Media Theorist & Researcher; Walead Beshty, Artist & Educator","May 15, 2026",,penumbra-foundation-workspace-residency-2026,true,2026-03-16
Penumbra Foundation Risograph Publication Residency,Penumbra Foundation,2026-04-01,Free,zine,"Residency to produce a small edition risograph photobook at Penumbra's facilities in NYC. No prior risograph experience required. Juried by Catherine McKinley, Joshua Chuang, and Travis Shaffer.",https://site.picter.com/penumbra-foundation-residency-programs-2026,@penumbrafoundation,"New York, NY, USA",,,Picter,15–30 images + PDF maquette,"Catherine E. McKinley, Curator & Writer; Joshua Chuang, Director of Photography, Gagosian; Travis Shaffer, Artist & Educator","May 15, 2026",,penumbra-foundation-risograph-publication-residency,true,2026-03-16
Generator Cooperative Art Production Fund — Round 10,Experimenter / Generator,2026-04-12,Free,grant,"Production bursaries for artists with no restrictions on age, medium, geography, or language. Supports project completion, seed funding, or continuing practice. Evaluated by rotating jury of artists and curators.",https://experimenter.in/labs/generator/,@generator_art_production_fund,Online,,,Google Form,10–15 images,,,,generator-cooperative-art-production-fund-round-10,true,2026-03-16
Curatory Magazine Vol. 15 — Open Call,Curatory Magazine,2026-03-10,"Free to submit, €30–€50 if selected",zine,International print and online magazine seeking artists working in any visual medium. Submit up to 6 artworks. Selected artists featured in both print and digital editions.,https://www.curatorymagazine.com/artist-submission,@curatory.magazine,Online,,,Website form,Up to 6 images,,,,curatory-magazine-vol-15-open-call,true,2026-03-16
Somewhere I Have Never Travelled — Group Exhibition,Art + Everywhere / Behind VA Shadows,2026-03-31,Free,exhibition,"Group exhibition exploring place as memory and memory as place. All mediums welcome including performance and installation. Exhibition runs July 12–September 12, 2026 in Harvard Square, Cambridge, MA. Artists responsible for shipping.",https://www.artpluseverywhere.com/event-details-registration/open-call-somewhere-i-have-never-travelled,@artpluseverywhere,"Cambridge, MA, USA",,,Website form,Up to 5 images (single PDF),"Brenda Melgoza Ciardiello, Curator; Stéphanie Williams, Curator","May 15, 2026",,somewhere-i-have-never-travelled-group-exhibition-art-everywhere-behind-va-shadows,false,2026-03-16
Nes Artist Residency — Fall 2026,Nes Artist Residency,Continuous,€850/month,residency,"Residency in Skagaströnd, Iceland for Sept/Oct/Nov 2026. Private bedroom, shared studio and library. 1–3 month stays. Open to artists, musicians, writers, and researchers. Remote location with opportunities for artistic and cultural exchange.",https://neslist.is/apply,@nesartistresidency,"Skagaströnd, Iceland",,,Website form,,,,,nes-artist-residency-fall-2026,true,2026-03-16
SCAN Tarragona — Talent Latent 2026,SCAN International Photography Festival,2026-04-12,Free,photography,"International photography festival open call. Theme: Metamorphosis. Selected projects exhibited at the festival (Oct 16–Nov 29, 2026) and receive €500 fee. Open to photographers 18+ of any nationality.",https://scan.cat/en/call-for-submissions-talent-latent/,@scantarragona,"Tarragona, Spain",€500,,JotForm,Up to 20 images,,End of May 2026,,scan-tarragona-talent-latent-2026,true,2026-03-16
Lobster Club Artist Residency 2026,Lobster Club,2026-03-23,$25,residency,"Weeklong summer residency (June 1–8) at Camp Singers in Delhi, New York — 88 acres with restored 1870s lodge. Group show in NYC opening June 10. All disciplines welcome. Simple application: photos of work and a brief about your plans.",https://form.typeform.com/to/ac0jgFGX,@lobster___club,"Delhi, NY, USA",,,Typeform,5–10 images,,Early April 2026,,lobster-club-artist-residency-2026,true,2026-03-16
REBIRTH — Monart Curates,Monart Curates,2026-04-15,£99,exhibition,"Curated group exhibition in Bermondsey, London (May 14–19, 2026). Open to artists working in painting, photography, installation, textile, and video.",https://www.curatorspace.com/opportunities/detail/rebirth-art-exhibition/10400,@monartcurates,"London, United Kingdom",,,CuratorSpace,,"Monica Mardare, Independent Curator",,,rebirth-monart-curates,true,2026-03-16
Suboart Magazine — May & June 2026 Issues,Suboart Magazine,2026-04-06,"Free to submit, €30 if selected",zine,"Independent print magazine based in Lisbon seeking emerging visual artists for in-depth interviews, Q&As, and features. Photography, painting, sculpture, textile art, collage, and illustration welcome. Artists receive a free PDF copy.",https://suboartmagazine.com/call-for-artists-may-june-2026-print-issues/,@suboartmagazine,Online,,,Email,Up to 6 images,,Late April 2026,Not accepted,suboart-magazine-may-june-2026-issues,true,2026-03-16
Field Notes — Aurea Photogallery,Aurea Photogallery,2026-03-31,"Free to submit, €30 if selected",photography,"Exhibition seeking photographs as visual observations — moments collected while moving through the world. Landscapes, street photography, portraits, and everyday details. One-month online exhibition with catalogue and permanent archive.",https://aureaphotogallery.com/open-call,@aurea.photogallery,Online,,,Website form,Up to 3 images,,,,field-notes-aurea-photogallery,true,2026-03-16
