"Name","Prizes","Requirements"
"Embracing Our Differences 2027 Outdoor Exhibition","$2,000 Best-in-Show + $2,000 Student + $2,000 People's Choice","1 image (horizontal, min 300dpi, unlimited entries)"
"Night Aesthetics","3 × €2,500 winners + Fotografiska Emerging feature","1 image per entry"
"The 2026 Lumen Prize","$15,000 Gold Award winner + 3 × $5,000 category prizes + exhibition","1 primary + up to 3 supporting images"
"Nest — Group Exhibition","Exhibition at Fringe Arts Bath festival","Images"
"Michael P. Smith Fund for Documentary Photography 2025","$3,000 grant + exhibition at PhotoNOLA","10–20 images"
"Love & Romance Show","Online exhibition at Blue Sky Gallery (50th anniversary series, Oregon)","Up to 3 images"
"EDITION 502 — Open Call for Photo Edition","Publication by Edition 502 (limited edition)","12 images"
"Texture of Light","Exhibition at Pro Photo DC","Up to 3 images"
"Anja Niedringhaus Courage in Photojournalism Award 2026","$20,000 award + work showcase","Work samples + statement"
"LT5 Alternative Photography Show","Exhibition at Kaleid Gallery, San Jose","Up to 2 images"
"Artphilein Open Call 2026","CHF 1,000 + solo exhibition at Artphilein Library + publication in Artphilein Dossier","10–20 images (single PDF)"
"L'Image Satellite 2026","€500 artist fee + transport + travel + accommodation + 3-week exhibition","Up to 20 images"
"2026 Fotograf Magazine Open Call","Publication in Fotograf Magazine (printed issue)","Portfolio PDF + project PDF"
"Fabula Works — Duo/Solo Show in Rome","Exhibition at Millepiani Gallery, Rome (5 weeks, printing covered)","10–25 images"
"Rarefied Light 2026","$300 Best of Show + $100 Honorable Mentions + traveling exhibition","1–20 images"
"Prix Mustaqbal 2026 — Momentum","Cash prize + residency at Jardin Rouge + duo-shows in Paris & Casablanca + group exhibition","4–8 images"
"No Place Art — Edition Two: MATERIALITY","£1,000 purchase award + 1-month residency + solo exhibition + mentoring + material vouchers + edition printing","Up to 5 images"
"59 Rivoli — Artist Residency 2026","Artist residency at 59 Rivoli, Paris (historic artist collective, studios open to public)","Motivation letter + CV + portfolio (single PDF)"
"LensCulture Critics' Choice 2026","$1,000 each for Top 10 + exhibition at Photo London 2027","1–10 images"
"Analog Sparks — International Film Photography Awards 2026","€1,000 Photographer of the Year + €250 New Talent + €100 per category + exhibition","1–11 images"
"Athens Photo Festival 2026","Exhibition at Benaki Museum + catalogue + residency (€600) + portfolio reviews","Up to 20 images"
"Griffin Museum — Material Work: Toil & Grace","Free online exhibition at Griffin Museum","1 image"
"RBSA Summer Show 2026","£600 1st prize + £300 2nd prize + 6 Highly Commended + exhibition at RBSA Gallery, Birmingham","Up to 3 images"
"Womanhood","Exhibition + zine publication","2 images per entry"
"EXPOSED feat Witty Books Dummy Award 2026","Publication by Witty Books (dummy award)","1 PDF"
"43rd Center Annual","Two $500 honoraria + exhibition","Up to 5 images"
"ZRNO Festival 2026 — Open Call","Exhibition at ZRNO Festival, North Macedonia (alternative/analog process)","Up to 4 images"
"PN Awards 2026 — Book Prize & Project Grant","Book prize + project grant","1 book"
"KYOTOGRAPHIE Photo Zine Showcase","Showcase at KYOTOGRAPHIE Photobook Fair, Kyoto (alongside major publishers, free)","1 physical zine (self-published, fits letterpack)"
"Fotografiska Emerging Artist Platform","Featured on Fotografiska Emerging platform + social media","3 images"
"PORTRAITS — Hellerau Photography Award 2026","€5,000 1st + €2,000 2nd + €1,000 3rd + solo exhibitions + catalogue","Up to 20 images"
"PETARD Magazine Issue #2 — Authentic","Publication in PETARD Magazine (print)","Download link + PDF"
"KYOTOGRAPHIE International Portfolio Review 2026","¥100,000 Fujifilm Award + Dazed interview (under 25) + reviews with 30 international curators","Physical print portfolio (in-person, Kyoto)"
"Prix Révélation SAIF x La Kabine 2026","€2,000 prize + projection at Festival OFF Photo, Arles (30 finalists also projected)","10–15 images"
"Fotobus Library Award 2026","Top 10 books exhibited at Rencontres d'Arles + Polycopies Paris + join mobile Fotobus library","1 book"
"Deloitte Photo Grant 2026","€25,000 grant + solo exhibition at Triennale Milano","Project proposal on theme ""Proximities"""
"Denis Roussel Award 2026","$2,000 award + 2 × $500 Merit Awards + $500 Rfotofolio Award + portfolio review","7 images + statement (alternative/historical process only)"
"Lucie Foundation Photo Book Prize 2026","$3,000 Book of Year + $2,000 First Book + $2,000 Self-Published","PDF of complete book"
"Insight Foto Festival — Insight Out 2026","Exhibition at Insight Foto Festival, Varese, Italy (Oct 16-25, 2026)","Via website form"
"Bibin Photography Magazine #5 — Body, Form & Condition","Publication in Bibin Photography Magazine with critical essay by art critic",""
"Penumbra Foundation Workspace Residency 2026","$7,000 honorarium + 6–8 week residency + darkroom + studios + 1-year membership","10–20 images"
"Penumbra Foundation Risograph Publication Residency","Risograph publication residency at Penumbra Foundation","15–30 images + PDF maquette"
"Generator Cooperative Art Production Fund — Round 10","Production stipend","10–15 images"
"Curatory Magazine Vol. 15 — Open Call","Publication in Curatory Magazine","Up to 6 images"
"Somewhere I Have Never Travelled — Group Exhibition","Virtual group exhibition by Art+Everywhere","Up to 5 images (single PDF)"
"Nes Artist Residency — Fall 2026","Artist residency in Skagaströnd, Iceland (1–6 months, individual workspace + studio)","CV + letter of intent + portfolio link (PDF)"
"SCAN Tarragona — Talent Latent 2026","€500 artist fee + exhibition at Port of Tarragona + catalogue + hotel + professional meeting","Up to 20 images (ZIP) + 250-word statement on theme ""Metamorphosis"""
"Lobster Club Artist Residency 2026","Artist residency in Delhi, NY + exhibition","5–10 images"
"REBIRTH — Monart Curates","Curated exhibition by Monart Curates",""
"Suboart Magazine — May & June 2026 Issues","Publication in Suboart Magazine (print + digital) + Instagram feature","Up to 6 images"
"Field Notes — Aurea Photogallery","Online exhibition + PDF catalogue + personal artist page + permanent archive","Up to 3 images"
"The Eden Artists Now Award 2026","$3,000 award + 4-week studio residency in NYC","5–8 images"
"Schloss Plüschow Artist-in-Residence 2026","€3,000 stipend + 3-month residency (Oct–Dec)","4 PDFs"
"Inspired by Classics — Golden Duck Gallery","€200 Old Masters + €150 Concept + €100 Special awards + exhibition in Budapest + digital in Vienna & NYC","Up to 5 images (ready to hang if selected)"
"Life Framer — Black & White","$2,000 winner + 3 exhibitions + photobook","Up to 10 images"
"Life Framer — Colors","$2,000 winner + 3 exhibitions + photobook","Up to 10 images"
"Life Framer — Portraits","$2,000 winner + 3 exhibitions + photobook","Up to 10 images"
"BBA Photography Prize 2026","€1,000 1st + €700 2nd + €500 3rd + €500 Lavazza + €300 Audience + solo exhibition","5 images"
"Arty Rat Magazine Open Call","Publication in Arty Rat Magazine (print) + Instagram feature + possible Vienna exhibition","Up to 6 images"
"MSU Zagreb Artist Residency 2026","€1,500 stipend + 1-month residency at Museum of Contemporary Art Zagreb (L'Internationale network)","Portfolio submission"
"Louvre Unbound Magazine — Volume 6 Open Call","Publication in Louvre Unbound Magazine (print + digital, 67+ countries) + 2-month social media promotion","Up to 6 images"
"Musée du quai Branly Photography Award 2026","€30,000 grant + production support + Paris residency + museum acquisition","1 project"
"Photographers Without Borders Revolutionary Storyteller Grant","$5,000 grant + Adobe Creative Cloud + publication + mentorship","30+ images"
"10. Merck-Preis der Darmstädter Tage der Fotografie","€500 production budget + €200 travel + accommodation + exhibition at UNESCO World Heritage Mathildenhöhe, Darmstadt","Up to 12 images or 10-min video + bio + project description"
"On the Block - Street & Urban Photography","$1,000 winner + exhibition + 3 × $250 category winners","1 image per entry"
"Temporary Storage","Online publication + site-specific exhibition in Catholic church crypt (Aug–Sep 2026)","Unlimited images"
"Photo Laureate 2026","Solo exhibition at Saint Petersburg Month of Photography",""
"Solo Exhibition April 2026","Solo online exhibition on All About Photo","6–14 images"
"Discovery Art Fair Cologne - Art Fair Spot","Exhibition at Discovery Art Fair Cologne (booth with New & Abstract gallery)","Portfolio submission"
"Seeing America","$400 1st + $300 2nd + $200 3rd + $200 Curator's Choice + exhibition during Photography Month Sacramento","Up to 4 images"
"Organ Vida 14 - Happy Spiraling","€300 artist fee + exhibition at Museum of Contemporary Art, Zagreb + production covered + accommodation","Up to 25 images via Picter"
"Innovate Grants - Winter $1,800 Grants","$1,800 grant + 12 Honorable Mentions + social media feature","Images of work"
"Call for Artists 2026","$200K–$1.2M commission + $4,000 proposal stipend","Up to 10 images"
"Dek Unu Magazine - Monthly Artist Feature","Dedicated monthly issue of Dek Unu Magazine (online + print) with in-depth interview","11 images"
"this place is strange","Virtual exhibition on Midwest Nice Art","Up to 3 images"
"The Narrative","Online exhibition at TCG Gallery","Up to 3 images"
"Bourse Laurent Troude 2026","€8,000 grant + exhibition + Libération publication","Up to 10 images"
"Multi-Exposed","Exhibition at Praxis Gallery, Minneapolis + Directors' Choice + Honorable Mentions","Up to 10 images"
"Linkshouse Residency — Pier Arts Centre Orkney","£2,200 stipend + residency in Orkney","1 PDF (6 images)"
"Premio Mila 2026","€3,000 acquisition prize + group exhibition at Careof, Milan (5 shortlisted)","Up to 15 images (under 40, Italy-based)"
"Foto Tallinn 2026 Art Fair","Exhibition at Foto Tallinn Art Fair","At least 5 images"
"Whimsical","Online exhibition at A Photographer's Place","Up to 5 images"
"10x10 Photobooks Research Grants Cycle 5","3 × $2,500 research grants for photobook history (Cycle 5: Africa & diaspora)","Research proposal (under 1000 words) + bio"
"Fast Forward: Analog Photography as a Third Space","Exhibition at LACP, Los Angeles + LACP gift cards + analog prizes (cameras, film) for top 3","Up to 35 images"
"The Magic of Light - Photography Open Call","$500 1st place + $250 2nd place + $100 3rd place + solo exhibition","Up to 15 images"
"The Human Portrait","$500 1st place + $350 2nd place + $150 3rd place","Up to 20 images"
"BOTANICAL Photography Exhibit","Exhibition at Dusk Gallery (free printing + framing in museum-quality frames)","5 or 10 images"
"Photographic Exploration Project: ENTANGLEMENT","Exhibition at B-Part gallery, Berlin (printing + framing provided) + exhibition catalogue","1–10 images"
"Portfolio 2026","$4,000 Museum Purchase (High Museum collection)","10 or 20 images"
"COLOR Photography Exhibit","Exhibition at Decode Gallery (museum-quality prints provided)","5 or 10 images"
"Contemporary Trends in Beauty","Online exhibition on L.A. Photo Curator + curator review for winners + 5% donated to charity","3 or 6 images"
"Centrale Festival Open Call 2026","Exhibition at Fano Centrale Festival, Italy (17th edition, Fano + Milano)","Project proposal"
"Abstract Visions","Online exhibition + possible magazine publication + interview in Artdoc Magazine (members only)","Portfolio (membership required)"
"The Process Room - Open Call for Workshops & Artworks","Exhibition at Photobook Café Basement Gallery + workshop programme (May–Jul 2026)","Artwork or workshop proposal"
"Mini Artist Grant for Emerging & Mid-Career Artists","$350 unrestricted grant + interview in Photo Trouvée Magazine + social media feature","Up to 5 artworks in single PDF (vintage photo inspired)"
"Colour Calendar Event","Featured in 2027 Calendar + possible book + online gallery (members only, selected by vote)","Single image (alternative process with colour)"
"FotoSlovo Award 2026","€2,000 prize + iPhone 16 512GB + book publication + exhibition + international festivals + magazine feature","1–15 images"
"Ephemere Photobook Grant 2026","Fully funded monograph printed in Tokyo + airfare to book launch + global distribution + 10% of edition","Physical book dummy mailed to Tokyo"
"2026 Street Photo Award","$1,000 1st + $600 2nd + $400 3rd + 7 × $100 finalists + exhibition in London + 960K Instagram","1, 3, or 6 images"
"A Stranger's Face: Travel Portraits (KLPA)","€2,000 1st + €1,000 2nd + €500 3rd + exhibition + international festival screenings","Up to 10 images with captions"
"AAP Magazine #56 Shadows","$500 1st + $300 2nd + $200 3rd + Merit Mentions + publication in AAP Magazine (print)","Up to 40 images"
"Color, Culture, Continuum – An Asian American Mosaic","$2,500 Pro Grand + $1,000 2nd + $500 3rd + Amateur & Student prizes + exhibition at South Coast Plaza + Bowers Museum","Up to 3 images"
"Night Works","$500 1st (+ solo show) + $300 2nd + $200 3rd + online exhibition + printed catalog","1–8 images"
"Fall 2026 - Spring 2027 Solo Exhibitions","Solo exhibition at SRO Photo Gallery, Texas Tech University + full color national brochure","20 images (2000px) + statement + CV"
"Hasselblad Foundation Photo Book Grant 2026","SEK 100,000 grant (~$9,500) for photobook production (Hasselblad Foundation)","Digital book dummy"
"Grants in Photography 2026","$3,000 grant","10–20 images"
"Portals: New Perspectives","Gallery exhibition in Middlebury, VT + online gallery + catalog + permanent archive","5+ images"
"CPA Artist Grants 2026","5 × $5,000 grants (emerging, mid-career, landscape, LGBTQ+, local)","10–20 images"
"Thoughts of Summer","Online exhibition + social media feature","Up to 25 images (JPEG, 1200px)"
"2026 International Portfolio Competition","Solo exhibition at Soho Photo Gallery, Chelsea, NYC (3 winners, running since 1971)","10–15 images"
"THE PORTRAIT","Exhibition at Praxis Gallery, Minneapolis + Directors' Choice + Honorable Mentions","Up to 10 images"
"Earthly Fabulations","Online exhibition on Der Greif + Face-to-Face critique sessions + Studio opportunities","1–5 images"
"Golden Turtle International Wildlife Festival 2026","$2,000 grand prize + $1,000 per category 1st + trophy + diploma + album","Up to 20 images"
"Sarajevo Photography Festival 2026","€2,000 grand prix + Canon award + exhibition","1–6 images"
"Framed: Black and White","Exhibition at Black Box Gallery, Portland (free printing + framing) + online gallery + catalog","Up to 5 images"
"Hiding in Plain Sight","$250 1st place + $150 2nd place + $75 3rd place + exhibition","3–15 images"
"Queer Conscience 2026 Photography Exhibition","Exhibition at The Image Flow, San Anselmo, CA (3 months) + softcover catalog + online gallery","Up to 5 images (US-based LGBTQIA2+ artists, framed)"
"PPA Photo Award 2026","$2,000 award + Lenscratch feature + interview + artist talk","10–20 images (JPEG, 1200px long edge)"
"XVI Concurso Internacional de Fotografía sobre Humanización Asistencial","€600 1st + €400 2nd + €200 3rd + public vote award + exhibition","Up to 3 images"
"light","Online exhibition + catalogue + hardbound book + Juror's Award (solo show) + $100 Visitors Award","Unlimited images (JPEG, 1800px)"
"Sharing and Caring Cities: Portraits of Collective Urban Life","$500 prize","3 images"
"Portrait Awards 2026","Publication in Dodho Magazine + certificate","3, 6, or 12 images"
"ViewPoint Gallery International Photography Competition","Exhibition at ViewPoint Gallery, Halifax (printing + framing provided) + Virtual Associate membership","3 images"
"The Cortona on The Move / BarTur Grant","$30,000 grand prize + 2 × $5,000 emerging prizes + exhibition at Cortona On The Move","Project proposal"
"Montgomery Photo Festival 2026","$1,000 Best in Show + 4 × $500 Best in Category + 2 × $250 Merit Awards","3 images"
"LUMINOSITY - The Impact of Light","$1,100 Grand Prize + 3 × $400 + 3 × $325 + 3 × $250 + online gallery + catalog","Unlimited images"
"FMoPA International Photography Competition 2026","$1,000 prize + exhibition","Single image per entry"
"CITY Photography Exhibit","Exhibition at Dusk Gallery (free printing + framing in museum-quality frames)","5 or 10 images"
"Film Photo Award 2026","100 rolls B&W film or 75 rolls color film + processing + Lenscratch feature","1–15 images"
"HOME Photography Exhibit","Exhibition at Decode Gallery (museum-quality prints provided)","5 or 10 images"
"Masterclasses Program 2026/2027","Exhibition + publication","Portfolio link"
"FOTOFILMIC OPEN 2026","Publication in FotoFilmic JRNL (large format 23×15"" print, guest-edited) + complimentary copy","Up to 20 images"
"Exposure One Awards - One Shot Photo Contest","$4,000+ total prizes + magazine feature + artist directory","1–5 images"
"The Hopper Prize Grants","2 × $4,500 grants + 4 × $1,000 grants + online archive","Up to 10 images"
"7th Annual Alternative Process Photography Exhibition","Exhibition at The Image Flow Gallery, Mill Valley","Up to 3 images"
"SHADOW PLAY 2026","Online exhibition + screen display at Cape Cod Art Center + cash prizes","Up to 2 images"
"1839 Awards Color Photography Contest","$4,000 total prizes + magazine feature + artist directory","1–5 images"
"Photographic Performance 2026","Online exhibition + catalogue + hardbound book + Juror's Award (solo show) + $100 Visitors Award","12–20 images (JPEG, 1800px)"
"reFocus Awards - Black and White Photo Contest","$3,500 total prizes + magazine feature + artist directory","1–5 images"
"The Book Project - Street Photography","Publication in Black Box Gallery hardbound photography book (12×12"", Blurb)","5–10 images"
"The Hand Magazine - Issue #53 Summer 2026","Publication in The Hand Magazine (print quarterly)","Up to 5 images"
"JUST ADD WATER","$750 Best of Show + 2 × $250 Director's Choice","20 images"
"BOTANICALS","$4,000 total prizes","Unlimited images"
"Snider Prize","$3,000 winner + 2 × $500 honorable mentions + MoCP permanent collection","10 images"
"Evolution Grant","$1,000 grant","5–20 images"
"reFocus Awards - Color Photography Contest","$2,500 total prizes","Single image or series (2–5 images)"
"Helsinki Analog Festival 2026 - Analog Practice Exhibition","Exhibition at Helsinki Analog Festival",""
"2027 Artist-in-Residence Program","$5,000 stipend + apartment + publication in Contact Sheet + collection inclusion","Portfolio"
"Arte Laguna Prize 2026","€10,000 prize + exhibition in Venice Arsenale + international residencies","5 images"
"IX International Mini Print Cantabria 2026","Exhibition at Mini Print Cantabria (physical prints)","Up to 3 prints, max 20×20 cm"
"Photobook Open Call 2026","Exhibition at Photometria Festival, Greece","PDF of the book + presentation video"
"World Cyanotype Day","Online exhibition for World Cyanotype Day","1 image"
"World Anthotype Day","Online exhibition for World Anthotype Day","1 image"
"Innovate Grants - Quarterly Grants","$1,800 grant","3–10 images"
"Analog Forever Magazine — Calls for Entry","Publication in Analog Forever Magazine","Analog/alternative process work"
"Open Doors Takeovers","£1,500 artist fee + representation by Open Doors Gallery + art fair exhibitions",""
"Tomorrow's Talent - Open Submissions","Featured on Booooooom website + Instagram (requires membership)","5 images"
"PhMuseum Days 2026 Open Call","Solo exhibition + €2,500 production budget + €300 artist fee + travel grant","5–20 images"
"Brussels Street Photography Festival 2026","€1,500 Singles 1st + €1,900 Series 1st + €450 Singles 2nd + €750 Series 2nd + 2 × €300 Brussels Award","1–10 images"
"Form Photo Award 2026","Exhibition at photo basel Art Fair (top 5) + digital exhibition (10 shortlisted) + submission reviews","1–8 images"
"Head On Photo Festival 2026","AUD 5,000 + exhibition","10 images (JPEG, 2400px long edge)"
"Sirmione Photo Residency 2026","€2,500 stipend + 2-week residency + up to €1,000 travel","PDF with min. 20 images"
"9th Chania International Photo Festival","Exhibition at Chania Photo Festival, Greece (500+ photographers, free printing + framing) + top 3 awards","1–5 images across 15+ categories"
"EuroNatur Photo Competition 2026","€1,500 1st + €1,000 2nd + €750 3rd + €500 4th + €250 5th + calendar publication","5 images"
"Vision(ary) 2026: Raising Our Voices","Outdoor public art exhibition in Winchester (Jun–Sep)","5–10 images"
"Griffin Museum — Self Published Photobook Exhibition 2026","Gallery exhibition at Griffin Museum","5 images"
"Siena Creative Photo Awards 2026","€500 prize + exhibition","Unlimited images"
"Objectif FEMMES 2026","Exhibition at Salons Aguado, Mairie du 9e, Paris (Nov 2026) + Laureate prize","Up to 10 images"
"Counter Histories Puerto Rico","$10,000 grant + 8-month fellowship + travel funded","Work sample"
"Golden Shot International Photography Awards 2026","$1,000 Best Photographer of the Year + trophy + medal + annual photo book + digital certificate","Unlimited images"
"Meitar Award for Excellence in Photography 2026","$14,000 award ($2,500 grant + exhibition production) + group show for 20 finalists","6–12 images"
"Street Photography Barcelona Contest 2026","€1,500 prize + exhibition at SPBC festival","8 images (physical prints 20×30cm+)"
"Impressum Photo Award 2026","€3,900 total prizes","25 images"
"Black & White Spider Awards 2026","Exhibition + certificate (Spider Awards)","Unlimited images"
"ND Awards 2026","$3,500 Pro winner + $2,400 Non-Pro winner + $500 category prizes","Single image or series (2–5 images)"
"International Photography Awards 2026","$10,000 total prizes","Unlimited images"
"London Photography Awards 2026","$3,000 Photographer of the Year + $2,000 amateur + $100 per category","Single image or series (2–8 images)"
"Photo Journalism Prize 2026","€5,000 1st + €3,000 2nd + €1,000 3rd","1–10 images"
"Gomma Black and White Photo Award 2026","€500 prize","8–24 images"
"Landskrona Foto & Breadfield Dummy Award 2026","Publication by Breadfield (book dummy award)","1 PDF"
"International Aerial Photographer of the Year 2026","$10,000 total prizes + publication in awards book","Aerial photographs"
"ReA! Art Fair 2026","€1,500 prize",""
"Prix Virginia 2026","€10,000 award + 10 finalists selected","12–18 images"
"MonoVisions Black & White Photography Awards 2026","$3,000 Series of the Year + $2,000 Photo of the Year","1 or 8 images"
"Nature Photographer of the Year 2026","€25,000 grand prize","Up to 20 images"
"HIPA Photography Award 2026","$200,000 Grand Prize + $40,000/$30,000/$20,000 per category ($1,000,000 total)","Via HIPA website"
"Natural Landscape Photography Awards 2026","$5,000 grand prize","1–18 images"
"Queer Nature Photography Awards 2026","€1,000 winner + top 10 exhibited at awards event + media publication","Up to 3 images + story paragraph (non-human nature, queer ecology)"
"The Shape of a Moment","Gold + Silver + Bronze awards + solo exhibition for Gold winner + group exhibition","Up to 5 images (2000px)"
"Chromatic Photography Awards 2026","$2,000 prize","Single image per entry"
"PX3 Prix de la Photographie Paris 2026","€5,000 prize","Single image or series (up to 9 images)"
"Camera Clara Photo Award 2026","€8,000 award","1 series"
"Tokyo International Foto Award 2026","€3,000 prize","Single image or series (2–10 images)"
"Milano Photo Awards 2026","Up to €2,000 prize + Nikon Z50II + exhibition + printing","2–10 images"
"Aesthetica Art Prize 2026","£10,000 prize + exhibition + online publication","2 images"
"MUSE Photography Awards 2026","$3,000 prize","Single image or series (2–8 images)"
"International Color Awards 2026","$1,500 Photographer of the Year + $750 2nd place + $500 3rd place + exhibition + winners book","Unlimited images"
"PX3 State of the World 2026","€200 prize + exhibition","Up to 10 images"
"Blank Wall Gallery — Street Photography","Exhibition at Blank Wall Gallery, Athens","Up to 5 images"
"Blank Wall Gallery — Red","Exhibition at Blank Wall Gallery, Athens","Up to 5 images"
"Blank Wall Gallery — Best Portfolio 2026","Solo exhibition at Blank Wall Gallery, Athens (40 prints produced, worth €2,200+)","10–20 images"
"Color/less — Cambridge Photography Gallery","Exhibition at Cambridge Photography Gallery","No limit on images"
"Daylight Photo Awards 2026","$2,500 Grand Prize + digital portfolio","15–20 images"
"Fotografiska HOME — Global Open Call","Exhibition at Fotografiska museums worldwide","3 images"
"The Idle Class — Photography Issue","Publication in The Idle Class Magazine",""
"Berlin Photo Awards 2026","€4,000 total prizes + Photographer of the Year title + photobook award + exhibition","Via website"
"Galleri Format — Window Exhibition 2026","Window exhibition at Galleri Format, Malmö","1 PDF"
"Griffin Museum — Handmade Photobook Exhibition 2026","Gallery exhibition at Griffin Museum (handmade books)","Up to 3 photobooks"
"Provoke USA — Open Call","Publication in Provoke USA zine",""
"Hariban Award 2026","Residency at Benrido collotype studio, Kyoto + exhibition (one of world's last collotype printers)","12 images"
"Dark Frames III — Carlotta Gallery","Virtual online exhibition + catalogue PDF + certificate + social media feature","Up to 3 images"
"Flora — Carlotta Gallery","Virtual online exhibition + catalogue PDF + certificate + social media feature","Up to 3 images"
"Europe — Carlotta Gallery","Virtual online exhibition + catalogue PDF + certificate + social media feature","Up to 3 images"
"Candid — Carlotta Gallery","Virtual online exhibition + catalogue PDF + certificate + social media feature","Up to 3 images"
"Summer — Carlotta Gallery","Virtual online exhibition + catalogue PDF + certificate + social media feature","Up to 3 images"
"Paradajs Photo Fest 2026 — Welcome to Paradise","€2,000 prize + residency","Up to 10 images"
"Beautiful Bizarre Art Prize — MPB Photography Award 2026","$3,000 1st place + $1,000 2nd place + $500 3rd place + exhibition + magazine feature","1 image"
"FotoDoc Photo Contest 2026","Exhibition at Festival FotoDoc, São Paulo + catalog + trophy + airfare for overall winner","1–15 images (Single: 1–3, Essay: 6–8, Portfolio: 10–15)"
"SUB(SCAPE) — Manifest Gallery Season 22","$1,000 prize","Up to 3 images"
"Artadia Awards 2026 — New York City","3 × $15,000 unrestricted awards + Artadia Network access + 6 finalists get studio visits","8 images + statement + CV"
"XII Premio Internacional de Fotografía Jalón Ángel","€1,500 prize","1 image per category"
"Bethany Arts Community — Fall Multidisciplinary Residency 2026","$450 weekly stipend + residency on 25-acre campus + meals + studios (Ossining, NY)","Portfolio + residency plan + public component proposal"
"Diane Dammeyer Fellowship in Photographic Arts and Social Awareness 2026/27","Fellowship + exhibition","Up to 20 images"
"XIX Premio de Fotografía Fundación ENAIRE 2026","€12,000 prize","Up to 3 images"
"International Photography and Football Open Call 2026","$6,000 1st + 2 × $3,000 2nd + 3 × $2,000 3rd + trip to Mexico City + exhibition with Annie Leibovitz","1–3 images (any camera including phone)"
"Lenscratch Student Prize 2026","$2,000 1st + $1,000 2nd + $750 3rd + 4 × $500 honorable mentions + mentorship + portfolio reviews + books","Students enrolled in BA/MA photography program"
"Lenscratch Motherhood Exhibition","Online exhibition on Lenscratch","1 image"
"Lenscratch Fatherhood Exhibition","Online exhibition on Lenscratch","1 image"
"Lenscratch Fault Lines: America Exhibition","Online exhibition on Lenscratch","1 image"
"SE Center for Photography — Magic of Light","Virtual exhibition at SE Center + social media feature + video walkthrough + 0% commission on sales","Up to 15 images"
"photoED Magazine — Home VS Away (Issue #76)","Publication in photoED Magazine (print + digital, printed copies shipped worldwide)","Up to 8 images"
"photoED Magazine — Real VS Imagined","Publication in photoED Magazine (print + digital, printed copies shipped worldwide)","Up to 8 images"
"LUMA Rencontres Dummy Book Award 2026","€25,000 award + book published by LUMA Foundation","1 dummy"
"8th Chelsea International Photography Competition","$500 prize","Up to 5 images"
"Creatura Magazine Issue 02 — What We Call Home","Publication in Creatura Magazine",""
"F-Stop Magazine Issue #137 — Open Theme","Publication in F-Stop Magazine (online)","Up to 12 images"
